,0
0,EICHERMOT
1,HCLTECH
2,ICICIBANK
3,KOTAKBANK
4,RELIANCE
5,SHREECEM
6,TATAMOTORS
7,BANDHANBNK
8,HDFCAMC
9,HAVELLS
10,JUBLFOOD
11,LTI
12,MUTHOOTFIN
13,TORNTPHARM
14,3MINDIA
15,AIAENG
16,AAVAS
17,ABCAPITAL
18,ASHOKLEY
19,GMRINFRA
20,HAL
21,INDHOTEL
22,KAJARIACER
23,LAURUSLABS
24,MPHASIS
25,NATIONALUM
26,NAM-INDIA
27,PETRONET
28,PFC
29,RELAXO
30,SUMICHEM
31,TRIDENT
32,UNOMINDA
33,UNIONBANK
34,ANURAS
35,ASTERDM
36,BALAMINES
37,CAMS
38,DCMSHRIRAM
39,DELTACORP
40,ELGIEQUIP
41,GARFIBRES
42,GESHIP
43,GAEL
44,GPPL
45,HEG
46,HATHWAY
47,IIFL
48,INFIBEAM
49,JSL
50,KNRCON
51,MGL
52,NESCO
53,RBLBANK
54,RAILTEL
55,SIS
56,SHILPAMED
57,SOBHA
58,STAR
59,SPARC
60,THYROCARE
61,UFLEX
62,VAKRANGEE
63,AMRUTANJAN
64,ARVINDFASN
65,AUTOAXLES
66,CENTRUM
67,CRAFTSMAN
68,DEEPAKFERT
69,DHANUKA
70,DOLATALGO
71,FINOPB
72,GTPL
73,GRSE
74,GEOJITFSL
75,GREENPANEL
76,JINDALPOLY
77,KCP
78,KSL
79,KOLTEPATIL
80,NEWGEN
81,NUCLEUS
82,ORISSAMINE
83,PILANIINVS
84,PUNJABCHEM
85,RATEGAIN
86,RAYMOND
87,RELINFRA
88,SANSERA
89,SHALBY
90,SHOPERSTOP
91,USHAMART
